,school,sex,age,address,famsize,Mjob,Fjob,reason,traveltime,studytime,failures,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,SS,F,22,U,GT3,at_home,teacher,course,2,2,0,yes,no,4,3,4,1,1,3,6,C0,C0,C0
1,SS,F,27,U,GT3,at_home,other,course,1,2,0,yes,no,5,3,3,1,1,3,4,C0,C0,C0
2,SS,F,25,U,LE3,at_home,other,other,1,2,3,yes,no,4,3,2,2,3,3,10,C+,C+,B0
3,SS,F,25,U,GT3,health,services,home,1,3,0,yes,yes,3,2,2,1,1,5,2,B+,B+,B+
4,SS,F,26,U,GT3,other,other,home,1,2,0,yes,no,4,3,2,1,2,5,4,C0,B0,B0
5,SS,M,26,U,LE3,services,other,reputation,1,2,0,yes,no,5,4,2,1,2,5,10,B+,B+,B+
6,SS,M,26,U,LE3,other,other,home,1,2,0,yes,no,4,4,4,1,1,3,0,B0,B0,B0
7,SS,F,27,U,GT3,other,teacher,home,2,2,0,yes,no,4,1,4,1,1,1,6,C0,C0,C0
8,SS,M,25,U,LE3,services,other,home,1,2,0,yes,no,4,2,2,1,1,1,0,A0,A+,A+
9,SS,M,25,U,GT3,other,other,home,1,2,0,yes,no,5,5,1,1,1,5,0,B+,B+,B+
10,SS,F,25,U,GT3,teacher,health,reputation,1,2,0,yes,no,3,3,3,1,2,2,0,B0,C+,C+
11,SS,F,25,U,GT3,services,other,reputation,3,3,0,yes,no,5,2,2,1,1,4,4,B0,B0,B0
12,SS,M,25,U,LE3,health,services,course,1,1,0,yes,no,4,3,3,1,3,5,2,B+,B+,B+
13,SS,M,25,U,GT3,teacher,other,course,2,2,0,yes,no,5,4,3,1,2,3,2,B0,B0,B0
14,SS,M,25,U,GT3,other,other,home,1,3,0,yes,yes,4,5,2,1,1,3,0,B+,A0,A0
15,SS,F,26,U,GT3,health,other,home,1,1,0,yes,no,4,4,4,1,2,2,4,B+,B+,B+
16,SS,F,26,U,GT3,services,services,reputation,1,3,0,yes,no,3,2,3,1,2,2,6,B+,B+,B+
17,SS,F,26,U,GT3,other,other,reputation,3,2,0,yes,no,5,3,2,1,1,4,4,C+,B0,B0
18,SS,M,27,U,GT3,services,services,course,1,1,3,yes,no,5,5,5,2,4,5,16,C0,C0,C0
19,SS,M,26,U,LE3,health,other,home,1,1,0,yes,no,3,1,3,1,3,5,4,C+,B0,B0
20,SS,M,25,U,GT3,teacher,other,reputation,1,2,0,yes,no,4,4,1,1,1,1,0,B+,B+,B+
21,SS,M,25,U,GT3,health,health,other,1,1,0,yes,no,5,4,2,1,1,5,0,B0,B+,B+
22,SS,M,26,U,LE3,teacher,other,course,1,2,0,yes,no,4,5,1,1,3,5,2,B+,B+,A0
23,SS,M,26,U,LE3,other,other,reputation,2,2,0,yes,no,5,4,4,2,4,5,0,B+,B+,B0
24,SS,F,25,R,GT3,services,health,course,1,3,0,yes,no,4,3,2,1,1,5,2,B0,C+,C+
25,SS,F,26,U,GT3,services,services,home,1,1,2,yes,no,1,2,2,1,3,5,14,C0,C+,C+
26,SS,M,25,U,GT3,other,other,home,1,1,0,yes,no,4,2,2,1,2,5,2,B0,B0,B0
27,SS,M,25,U,GT3,health,services,other,1,1,0,yes,no,2,2,4,2,4,1,4,B+,A0,B+
28,SS,M,26,U,LE3,services,other,home,1,2,0,yes,no,5,3,3,1,1,5,4,B0,B0,B0
