,school,sex,age,address,famsize,Mjob,Fjob,reason,traveltime,studytime,failures,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
0,SS,F,22,U,GT3,at_home,teacher,course,2,2,0,yes,no,4,3,4,1,1,3,4,D0,B0,B0
1,SS,F,27,U,GT3,at_home,other,course,1,2,0,yes,no,5,3,3,1,1,3,2,C+,B0,B0
2,SS,F,25,U,LE3,at_home,other,other,1,2,0,yes,no,4,3,2,2,3,3,6,B0,B+,B0
3,SS,F,25,U,GT3,health,services,home,1,3,0,yes,yes,3,2,2,1,1,5,0,B+,B+,B+
4,SS,F,26,U,GT3,other,other,home,1,2,0,yes,no,4,3,2,1,2,5,0,B0,B+,B+
5,SS,M,26,U,LE3,services,other,reputation,1,2,0,yes,no,5,4,2,1,2,5,6,B0,B0,B+
6,SS,M,26,U,LE3,other,other,home,1,2,0,yes,no,4,4,4,1,1,3,0,B+,B0,B+
7,SS,F,27,U,GT3,other,teacher,home,2,2,0,yes,no,4,1,4,1,1,1,2,B0,B+,B+
8,SS,M,25,U,LE3,services,other,home,1,2,0,yes,no,4,2,2,1,1,1,0,B+,A0,A0
9,SS,M,25,U,GT3,other,other,home,1,2,0,yes,no,5,5,1,1,1,5,0,B0,B0,B+
10,SS,F,25,U,GT3,teacher,health,reputation,1,2,0,yes,no,3,3,3,1,2,2,2,B+,B+,B+
11,SS,F,25,U,GT3,services,other,reputation,3,3,0,yes,no,5,2,2,1,1,4,0,B0,B0,B+
12,SS,M,25,U,LE3,health,services,course,1,1,0,yes,no,4,3,3,1,3,5,0,B0,B+,B0
13,SS,M,25,U,GT3,teacher,other,course,2,2,0,yes,no,5,4,3,1,2,3,0,B0,B0,B+
14,SS,M,25,U,GT3,other,other,home,1,3,0,yes,yes,4,5,2,1,1,3,0,B+,B+,B+
15,SS,F,26,U,GT3,health,other,home,1,1,0,yes,no,4,4,4,1,2,2,6,A0,A0,A0
16,SS,F,26,U,GT3,services,services,reputation,1,3,0,yes,no,3,2,3,1,2,2,10,B+,B+,B+
17,SS,F,26,U,GT3,other,other,reputation,3,2,0,yes,no,5,3,2,1,1,4,2,B+,B+,B+
18,SS,M,27,U,GT3,services,services,course,1,1,3,yes,no,5,5,5,2,4,5,2,C+,C+,C+
19,SS,M,26,U,LE3,health,other,home,1,1,0,yes,no,3,1,3,1,3,5,6,B0,B0,B0
20,SS,M,25,U,GT3,teacher,other,reputation,1,2,0,yes,no,4,4,1,1,1,1,0,B0,B+,B+
21,SS,M,25,U,GT3,health,health,other,1,1,0,yes,no,5,4,2,1,1,5,0,B0,B0,B0
22,SS,M,26,U,LE3,teacher,other,course,1,2,0,yes,no,4,5,1,1,3,5,0,B0,B+,B+
23,SS,M,26,U,LE3,other,other,reputation,2,2,0,yes,no,5,4,4,2,4,5,2,B0,B0,B0
24,SS,F,25,R,GT3,services,health,course,1,3,0,yes,no,4,3,2,1,1,5,2,B0,B0,B0
25,SS,F,26,U,GT3,services,services,home,1,1,0,yes,no,1,2,2,1,3,5,6,B0,B0,B0
26,SS,M,25,U,GT3,other,other,home,1,1,0,yes,no,4,2,2,1,2,5,8,B0,B0,B0
27,SS,M,25,U,GT3,health,services,other,1,1,0,yes,no,2,2,4,2,4,1,0,B0,B0,B0
28,SS,M,26,U,LE3,services,other,home,1,2,0,yes,no,5,3,3,1,1,5,2,B0,B0,B+
29,SS,M,26,U,GT3,teacher,teacher,home,1,2,0,yes,yes,4,4,5,5,5,5,4,B0,B0,B0
30,SS,M,25,U,GT3,health,services,home,1,2,0,yes,no,5,4,2,3,4,5,0,B0,B0,B0
31,SS,M,25,U,GT3,services,services,reputation,2,2,0,yes,no,4,3,1,1,1,5,2,B+,B+,B+
32,SS,M,25,R,GT3,teacher,at_home,course,1,2,0,yes,yes,4,5,2,1,1,5,0,B+,B+,B+
33,SS,M,25,U,LE3,other,other,course,1,2,0,yes,no,5,3,2,1,1,2,0,B+,B0,B0
34,SS,M,26,U,GT3,other,other,home,1,1,0,yes,no,5,4,3,1,1,5,4,B0,B0,B0
35,SS,F,25,U,GT3,other,other,other,2,1,0,yes,no,3,5,1,1,1,5,4,B0,B0,B0
36,SS,M,25,U,LE3,teacher,services,home,1,3,0,yes,no,5,4,3,1,1,4,0,B+,B+,B+
37,SS,M,26,R,GT3,other,teacher,reputation,2,3,0,yes,yes,2,4,3,1,1,5,4,B+,B+,B+
38,SS,F,25,R,GT3,services,health,course,1,3,0,yes,no,4,3,2,1,1,5,2,B0,B0,B0
39,SS,F,25,R,GT3,at_home,other,reputation,1,1,0,yes,no,4,3,1,1,1,2,8,B+,B+,B0
40,SS,F,26,U,LE3,other,other,home,2,2,0,yes,yes,3,3,3,1,2,3,16,B0,B0,B0
41,SS,M,25,U,LE3,teacher,other,home,1,1,0,yes,yes,5,4,3,2,4,5,8,B0,B0,B0
42,SS,M,25,U,GT3,services,teacher,course,1,2,0,yes,no,4,3,3,1,1,5,0,B+,B+,B+
43,SS,M,25,U,GT3,services,services,course,1,1,0,yes,no,5,4,1,1,1,1,0,C+,B0,B0
44,SS,F,26,U,LE3,other,at_home,course,2,2,1,yes,no,4,3,3,2,2,5,14,B0,B0,B0
45,SS,F,25,U,LE3,other,other,course,1,2,0,yes,yes,5,2,2,1,1,5,4,B0,B0,B0
46,SS,F,26,U,LE3,other,services,home,1,2,0,yes,no,2,3,5,1,4,3,6,B+,B0,B+
47,SS,M,26,U,GT3,health,services,reputation,1,4,0,yes,no,4,2,2,1,1,2,2,A0,A0,A0
48,SS,M,25,U,GT3,teacher,other,home,1,2,0,yes,no,4,3,3,2,2,5,4,B0,B0,B+
49,SS,F,25,U,GT3,services,teacher,other,1,2,0,yes,no,4,4,4,1,1,3,2,B+,B0,B0
50,SS,F,26,U,LE3,services,services,course,3,2,0,yes,no,4,3,3,2,3,4,0,B+,B+,B+
51,SS,F,25,U,LE3,health,other,other,1,2,0,yes,no,4,3,3,1,1,5,0,A0,B+,A0
52,SS,M,25,U,LE3,health,health,other,2,1,0,yes,no,5,5,5,3,4,5,4,B0,C+,C+
53,SS,F,25,U,GT3,services,services,course,1,1,0,yes,no,3,3,4,2,3,5,0,B+,B0,B0
54,SS,F,25,U,LE3,other,other,other,1,1,0,yes,no,5,3,4,4,4,1,0,B+,B0,B+
55,SS,F,26,U,GT3,other,other,other,1,2,0,yes,yes,5,3,4,1,1,2,2,B0,B+,B0
